Retransmit,Total,Percentage,Time
125,1401,0.0892219842969,18.594604
122,1484,0.0822102425876,9.760516
148,1536,0.0963541666667,15.022639
135,1491,0.0905432595573,18.978643
114,1453,0.0784583620096,8.014010
120,1465,0.0819112627986,14.014976
151,1313,0.115003808073,15.058737
166,1547,0.107304460246,16.102601
132,1482,0.0890688259109,10.077247
135,1504,0.0897606382979,13.518550
107,1305,0.0819923371648,8.674465
113,1347,0.0838901262064,9.967099
97,1397,0.0694345025054,7.082543
136,1513,0.0898876404494,9.874901
141,1440,0.0979166666667,12.996929
139,1446,0.0961272475795,21.055853
126,1463,0.0861244019139,12.064587
118,1388,0.0850144092219,10.011153
93,1268,0.0733438485804,6.967363
113,1455,0.0776632302405,8.755978
121,1494,0.0809906291834,10.422454
113,1389,0.0813534917207,8.980755
108,1460,0.0739726027397,12.020370
137,1467,0.093387866394,14.969241
112,1446,0.0774550484094,9.049784
131,1423,0.0920590302178,11.915653
135,1530,0.0882352941176,12.010582
116,1479,0.078431372549,11.102570
147,1488,0.0987903225806,11.927295
112,1470,0.0761904761905,7.851940
